2023-04-17 22:24:22: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:30:39: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:31:10: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:31:40: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:32:10: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:32:41: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:33:11: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:33:41: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:34:11: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:34:41: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:35:11: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:35:41: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:36:12: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:36:42: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:37:12: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:37:42: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:38:12: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:38:42: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:39:14: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:39:44: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:40:14: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:40:44: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:41:15: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:41:45: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:42:15: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:42:45: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:43:15: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:43:45: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:44:15: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:44:45: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:45:15: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:45:46: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:46:16: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:46:46: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:47:16: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:47:46: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:48:16: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:48:46: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-17 22:49:16: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-17 22:49:46: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-17 22:50:16: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-17 22:50:47: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-17 22:51:17: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-18 18:53:46: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-18 18:56:30: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-18 18:59:14: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
2023-04-18 19:07:31: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:08:01: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:08:31: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
2023-04-18 19:09:01: Temperatur=21.4, Luftfeuchtigkeit=61.0, Taupunkt=13.6
