2023-04-17 22:22:16: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:22:51: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:23:21: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:23:51: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:24:22: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:24:52: Temperatur=21.4, Luftfeuchtigkeit=60.0, Taupunkt=13.3
2023-04-17 22:25:22: Temperatur=21.4, Luftfeuchtigkeit=59.0, Taupunkt=13.0
2023-04-17 22:25:52: Temperatur=21.4, Luftfeuchtigkeit=59.0, Taupunkt=13.0
2023-04-17 22:26:23: Temperatur=21.4, Luftfeuchtigkeit=59.0, Taupunkt=13.0
2023-04-17 22:26:53: Temperatur=21.4, Luftfeuchtigkeit=59.0, Taupunkt=13.0
2023-04-17 22:27:23: Temperatur=21.4, Luftfeuchtigkeit=59.0, Taupunkt=13.0
2023-04-17 22:27:53: Temperatur=21.4, Luftfeuchtigkeit=59.0, Taupunkt=13.0
2023-04-17 22:28:23: Temperatur=21.4, Luftfeuchtigkeit=59.0, Taupunkt=13.0
2023-04-17 22:28:54: Temperatur=21.1, Luftfeuchtigkeit=59.0, Taupunkt=12.8
2023-04-17 22:29:24: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:29:54: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:30:25: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:30:55: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:31:25: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:31:56: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:32:26: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:32:56: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:33:26: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:33:56: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:34:27: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:34:57: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:35:27: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:35:57: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:36:27: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:36:57: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:37:27: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:37:58: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:38:28: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:38:58: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:39:28: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:39:58: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:40:28: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:40:58: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:41:28: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:41:58: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:42:29: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:42:59: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:43:29: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:43:59: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:44:29: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:44:59: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:45:29: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:45:59: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:46:30: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:47:00: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:47:30: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:48:00: Temperatur=21.0, Luftfeuchtigkeit=59.0, Taupunkt=12.7
2023-04-17 22:48:30: Temperatur=20.7, Luftfeuchtigkeit=60.0, Taupunkt=12.6
2023-04-17 22:49:00: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-17 22:49:30: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-17 22:50:01: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-17 22:50:31: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-17 22:51:01: Temperatur=20.6, Luftfeuchtigkeit=60.0, Taupunkt=12.5
2023-04-18 04:39:35: Temperatur=, Luftfeuchtigkeit=, Taupunkt=
